source,date,value
GCAG,1880-01-15,-0.06
GISTEMP,1880-01-15,-0.18
GCAG,1880-02-15,-0.14
GISTEMP,1880-02-15,-0.24
GCAG,1880-03-15,-0.09
GISTEMP,1880-03-15,-0.09
GISTEMP,1880-04-15,-0.16
GCAG,1880-04-15,-0.05
GISTEMP,1880-05-15,-0.1
GCAG,1880-05-15,-0.09
GISTEMP,1880-06-15,-.21
GCAG,1880-06-15,-0.13
GISTEMP,1880-07-15,-.18
GCAG,1880-07-15,-0.13
GISTEMP,1880-08-15,-.10
GCAG,1880-08-15,-0.07
GCAG,1880-09-15,-0.11
GISTEMP,1880-09-15,-.14
GISTEMP,1880-10-15,-.24
GCAG,1880-10-15,-0.24
GCAG,1880-11-15,-0.24
GISTEMP,1880-11-15,-.22
GCAG,1880-12-15,-0.1
GISTEMP,1880-12-15,-.18
GISTEMP,1881-01-15,-0.2
GCAG,1881-01-15,-0.09
GCAG,1881-02-15,-0.06
GISTEMP,1881-02-15,-0.14
GISTEMP,1881-03-15,0.03
GCAG,1881-03-15,0.05
GISTEMP,1881-04-15,0.05
GCAG,1881-04-15,0.07
GISTEMP,1881-05-15,0.06
GCAG,1881-05-15,0.03
GCAG,1881-06-15,-0.12
GISTEMP,1881-06-15,-.19
GISTEMP,1881-07-15,.00
GCAG,1881-07-15,-0.06
GCAG,1881-08-15,-0.06
GISTEMP,1881-08-15,-.03
GCAG,1881-09-15,-0.16
GISTEMP,1881-09-15,-.15
GISTEMP,1881-10-15,-.22
GCAG,1881-10-15,-0.29
GISTEMP,1881-11-15,-.18
GCAG,1881-11-15,-0.26
GISTEMP,1881-12-15,-.07
GCAG,1881-12-15,-0.03
GISTEMP,1882-01-15,0.16
GCAG,1882-01-15,0.09
GISTEMP,1882-02-15,0.14
GCAG,1882-02-15,0.02
GISTEMP,1882-03-15,0.04
GCAG,1882-03-15,-0.01
GISTEMP,1882-04-15,-0.16
GCAG,1882-04-15,-0.15
GCAG,1882-05-15,-0.14
GISTEMP,1882-05-15,-0.14
GCAG,1882-06-15,-0.14
GISTEMP,1882-06-15,-.22
GCAG,1882-07-15,-0.12
GISTEMP,1882-07-15,-.16
GISTEMP,1882-08-15,-.08
GCAG,1882-08-15,-0.08
GCAG,1882-09-15,-0.1
GISTEMP,1882-09-15,-.15
GCAG,1882-10-15,-0.23
GISTEMP,1882-10-15,-.23
GISTEMP,1882-11-15,-.17
GCAG,1882-11-15,-0.15
GCAG,1882-12-15,-0.16
GISTEMP,1882-12-15,-.36
GISTEMP,1883-01-15,-0.29
GCAG,1883-01-15,-0.28
GCAG,1883-02-15,-0.35
GISTEMP,1883-02-15,-0.37
GCAG,1883-03-15,-0.18
GISTEMP,1883-03-15,-0.12
GISTEMP,1883-04-15,-0.19
GCAG,1883-04-15,-0.2
GCAG,1883-05-15,-0.16
GISTEMP,1883-05-15,-0.18
GCAG,1883-06-15,0.0
GISTEMP,1883-06-15,-.07
GCAG,1883-07-15,-0.1
GISTEMP,1883-07-15,-.07
GCAG,1883-08-15,-0.11
GISTEMP,1883-08-15,-.14
GISTEMP,1883-09-15,-.22
GCAG,1883-09-15,-0.18
GCAG,1883-10-15,-0.22
